nama_atlet,kontingen,atribut,nama_kata,grup,kelas
JUNITA LUDFY RAHAYU,LEMKARI NGAWI,aka,Gojushiho sho,individu,pra pemula pi
ZASKIA PUTRI SALURANTE,DISPORA KOTAMOBAGU/INKANAS,aka,gankaku,individu,pra pemula pi
CANTIKA DARNINGSIH,TAJURHALANG/INKAI,aka,wankan,individu,pra pemula pi
SYAFIRA SULISTIANTI,IPKC/INKAI,aka,chatanyara,individu,pra pemula pi
SAFA ZAHIRAH WIRAWAN,SDN PONDOK KELAPA 05/INKAI,aka,Gojushiho sho,individu,pra pemula pi
AL ZHERA BILQIES ASMAI PUTRI,LEMKARI  SUMUT,aka,gankaku,individu,pra pemula pi
