nama_atlet,kontingen,atribut,nama_kata,grup,kelas
NUGRAHA SURYA KUSUMA,GARUDA MUDA/LEMKARI,aka,gankaku,individu,kadet pa
FARIZ AULIA AZKA,GARUDA MUDA/LEMKARI,aka,unsu,individu,kadet pa
ANANDA ADJI SAPUTRA ,IPKC / INKAI,aka,gojushiho sho,individu,kadet pa
ALMER DEVARA ZUFAR,HIROHITO TEGAL/GOKASI,aka,tomari bassai,individu,kadet pa
FAHRI SYAUQI RAMADAN,GARUDA MUDA/LEMKARI,aka,unsu,individu,kadet pa
M. ALIF RAFSANZANI,GARUDA MUDA/LEMKARI,aka,gankaku,individu,kadet pa
MUHAMMAD DZAKY,IPKC / INKAI,aka,gojushiho sho,individu,kadet pa
