nama_atlet,kontingen,atribut,nama_kata,grup,kelas
MUHAMMAD WAHYU ANANDA,COAST GUARD KARATE TEAM,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK PUTIH-KUNING PUTRA
MUHAMMAD SOFYAN ADITYA,LEMKARI NGAWI,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK PUTIH-KUNING PUTRA
ARDIKA HENDRA PRAKOSO,AMC INKANAS DKI,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK PUTIH-KUNING PUTRA
GEMPAR KUNTO WIJOYODANU,LEMKARI NGAWI,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK PUTIH-KUNING PUTRA
AMMAR TAMAMI,BUMI MAKMUR,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK PUTIH-KUNING PUTRA
MOH. REVANLEE MAKALALAG,DISPORA KOTAMOBAGU,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK PUTIH-KUNING PUTRA
